github_path,raw_url,sha,local_path,filename,section,last_synced_at,sitemap_lastmod
docs/User Guide/administer/global/admin_settings/contact_information/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/contact_information/index.md,,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/contact_information/index.md,index.md,administer,2026-06-10T11:55:12.655Z,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/admin_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/index.md,648530dc79f328e299014d55faf7020b119fcf59,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/admin_settings/notification_preferences/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/notification_preferences/index.md,785e57ff61ac1274b122c6c046546be511ab99b2,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/notification_preferences/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T22:57:13+00:00
docs/User Guide/administer/global/admin_settings/security_settings/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/security_settings/index.md,9dd31fcd03ec34c059997ff9d9aa9c22e655813e,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/security_settings/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-29T21:28:26+00:00
docs/User Guide/administer/global/admin_settings/security_settings/security_export_s3/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/security_settings/security_export_s3/index.md,e39677832802cc98304a9ec71f7d2be7b1f2d38c,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/security_settings/security_export_s3/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/admin_settings/workspace_time_zone/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/admin_settings/workspace_time_zone/index.md,a5424883e0ba95412555fc1299bb79acaac864dd,braze_user_guide_md/docs/User Guide/administer/global/admin_settings/workspace_time_zone/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-11T16:31:34+00:00
docs/User Guide/administer/global/billing/credits_usage/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/billing/credits_usage/index.md,2d6b91d8ac7325d617e985def552da4f5a0cf7d6,braze_user_guide_md/docs/User Guide/administer/global/billing/credits_usage/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-29T17:07:12+00:00
docs/User Guide/administer/global/billing/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/billing/index.md,f61709cb46a75b04f1ed70bd9d4e7eabd1145156,braze_user_guide_md/docs/User Guide/administer/global/billing/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-29T17:07:12+00:00
docs/User Guide/administer/global/create_and_manage_workspaces/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/create_and_manage_workspaces/index.md,7e09ff287190fd8ab84dbd813372f44532df379c,braze_user_guide_md/docs/User Guide/administer/global/create_and_manage_workspaces/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-06-03T15:35:30+00:00
docs/User Guide/administer/global/create_and_manage_workspaces/migrate_workspace_data/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/create_and_manage_workspaces/migrate_workspace_data/index.md,f6a71710d318a9176b110c56d9884e9190c7c6aa,braze_user_guide_md/docs/User Guide/administer/global/create_and_manage_workspaces/migrate_workspace_data/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-06-03T15:35:30+00:00
docs/User Guide/administer/global/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/index.md,0ca25d9f959eb5715de3b999ea0b6810ad3ee213,braze_user_guide_md/docs/User Guide/administer/global/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/privacy/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/privacy/index.md,5f67abdabcbb71764d2a2f287f989f66b905d625,braze_user_guide_md/docs/User Guide/administer/global/privacy/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/privacy/managing_consent/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/privacy/managing_consent/index.md,34c347ab6bef6be2e1af178b029d7cec79dac12a,braze_user_guide_md/docs/User Guide/administer/global/privacy/managing_consent/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-03-19T20:39:41+00:00
docs/User Guide/administer/global/privacy/spam_regulations/index.md,https://raw.githubusercontent.com/braze-inc/release-notes/main/docs/User%20Guide/administer/global/privacy/spam_regulations/index.md,04df60fb04b07f33ec4b52f2ae81d8fdec0eb385,braze_user_guide_md/docs/User Guide/administer/global/privacy/spam_regulations/index.md,index.md,administer,2026-06-10T11:58:16.563899+00:00,2026-05-08T20:41:17+00:00
