case_number,account_id,account_name,case_status,issue_type,metric_date,metric_timezone,day_index,days_to_case_end,phase,issue_progress,is_current_metric_window,is_incident_marker,issue_signal,is_impacted_provider,mailbox_provider,recipient_domain,sending_domain,sending_ip,ip_pool,campaign,subaccount,count_targeted,count_rejected,count_injected,count_admin_bounce,count_sent,count_accepted,count_bounce,count_hard_bounce,count_soft_bounce,count_undetermined_bounce,count_block_bounce,count_delayed,count_delayed_first,count_delivered_first,count_delivered_subsequent,count_inband_bounce,count_outofband_bounce,count_spam_complaint,count_unique_clicked,count_nonprefetched_unique_confirmed_opened,count_nonprefetched_rendered,count_nonprefetched_initial_rendered,count_unsubscribe,count_inbox,count_spam,count_moved_to_inbox,count_moved_to_spam,avg_msg_size,avg_delivery_time_first,avg_delivery_time_subsequent,total_msg_volume,admin_bounce_rate,rejected_rate,accepted_rate,block_bounce_rate,bounce_rate,hard_bounce_rate,soft_bounce_rate,undetermined_bounce_rate,delayed_rate,spam_complaint_rate,nonprefetched_open_rate,click_through_rate,unsubscribe_rate,inbox_folder_rate,spam_folder_rate,moved_to_inbox_rate,moved_to_spam_rate
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,225696,2692,223004,216,222788,220468,2320,952,1368,0,552,6782,5585,164672,56546,1570,750,279,6833,42674,58367,53328,527,9403,512,347,219,94200,2860,3915000,20986629600,0.0009685924916145002,0.011927548560896072,0.9895865127385676,0.002477691796685638,0.010413487261432394,0.004273120634863637,0.006140366626568756,0,0.025332474554130305,0.0012654897762940653,0.1935609702995446,0.030993160005080102,0.0023903695774443456,0.9483610690872416,0.051638930912758445,0.0015739245604804324,0.0009933414373060943
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,135738,937,134801,105,134696,134427,269,51,125,93,107,2682,1878,102674,31835,187,82,56,5296,30543,38080,35399,320,7901,318,217,404,94200,2860,3915000,12688363200,0.0007789259723592555,0.006903004317140374,0.9980029102571717,0.0007943814218685039,0.001997089742828295,0.0003786303973391934,0.0009280156797529251,0.0006904436657361763,0.013970407730589838,0.00041658297812195466,0.22720881965676537,0.03939684735953343,0.002380474160696884,0.9613091616985034,0.038690838301496534,0.0016142590402225742,0.003005348627879816
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,98719,133,98586,25,98561,98364,197,40,106,51,32,2998,2208,79126,19311,124,73,87,3982,13961,20286,16523,147,4144,494,147,205,94200,2860,3915000,9284446200,0.0002535857018237884,0.001347258379845825,0.9980012378121164,0.0003246720305191709,0.0019987621878836456,0.00040584003814896357,0.0010754761010947536,0.0005174460486399285,0.022447236793949006,0.0008844699280224472,0.1419320076450734,0.04048229026879753,0.0014944491887275832,0.8934885726606295,0.10651142733937041,0.0014944491887275832,0.002084095807409215
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,false,Apple,icloud.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,74039,629,73410,49,73361,73034,327,69,142,116,107,3538,2966,57769,15379,213,114,50,2549,8969,13638,11052,138,2831,200,59,103,94200,2860,3915000,6910606200,0.0006674839940062662,0.008495522629965288,0.9955425907498535,0.0014585406414852578,0.004457409250146535,0.0009405542454437644,0.00193563337468137,0.001581221630021401,0.04061122217049593,0.0006846126461648,0.12280581646904182,0.0349015527014815,0.0018895309034148479,0.9340151765094028,0.06598482349059716,0.0008078429224744639,0.001410302051099488
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,false,AOL,aol.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,67869,446,67423,104,67319,66961,358,132,171,55,67,3148,2947,56777,10330,212,146,66,2770,14850,16794,14850,197,1576,274,42,58,94200,2860,3915000,6341449800,0.0015425003337140146,0.0065714832987078045,0.9946820362750487,0.0009952613675188282,0.005317963724951351,0.0019608134404848557,0.002540144684264472,0.0008170056002020232,0.04401069279132629,0.0009856483624796524,0.22177088155792177,0.04136736309194904,0.0029420110213407803,0.8518918918918919,0.14810810810810812,0.0006272307761234151,0.0008661758336942399
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-12,Europe/London,1,29,Baseline,0.0,false,false,Gmail deferrals,false,Proton Mail,proton.me,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,49359,524,48835,57,48778,48635,143,41,81,21,35,2798,2453,41011,7692,75,68,27,1525,6856,8379,7185,156,980,62,179,101,94200,2860,3915000,4594887600,0.0011671956588512338,0.010616098381247593,0.9970683504858748,0.0007175365943663126,0.0029316495141252204,0.000840542867686252,0.0016605846898191808,0.0004305219566197876,0.0504369281381721,0.0005551557520304308,0.14096843836743086,0.0313560193276447,0.0032075665672869334,0.9404990403071017,0.05950095969289827,0.0036804770227202633,0.0020766937390767964
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,242109,3025,239084,355,238729,238252,477,184,206,87,154,5707,4125,185589,52909,231,246,163,5877,55455,62892,55455,625,9326,613,210,600,94200,2860,3915000,22488271800,0.0014848337822689934,0.01249437236946995,0.9980019184933544,0.0006450829182881008,0.0019980815066456105,0.0007707484218507178,0.0008629031244633035,0.00036442996033158936,0.017313600725282475,0.0006841495559323741,0.23275775229588838,0.024667159142420632,0.002623272837164011,0.9383237750276687,0.06167622497233122,0.0008814196732871077,0.002518341923677451
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,145609,1702,143907,160,143747,142839,908,263,565,80,445,6847,5819,124279,18978,490,418,158,5361,23650,27304,26207,265,4758,737,428,316,94200,2860,3915000,13540967400,0.0011118291674484216,0.011688837915238755,0.9936833464350561,0.0030957167801762817,0.006316653564943964,0.0018296034004187914,0.003930516810785617,0.0005565333537395563,0.04073817374806601,0.0011061404798409398,0.1655710275204951,0.037531766534349864,0.0018552356149230953,0.8658780709736124,0.13412192902638762,0.0029963805403286216,0.0022122809596818796
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,105898,597,105301,145,105156,104585,571,109,241,221,164,5009,4789,86613,18133,410,161,83,4195,24343,27236,24343,369,5241,424,148,184,94200,2860,3915000,9905695200,0.001377004966714466,0.005637500236076225,0.9945699722317319,0.0015595876602381225,0.005430027768268097,0.0010365552132070447,0.002291833086081631,0.002101639468979421,0.04579050533059234,0.0007936128507912225,0.2327580436965148,0.04011091456709853,0.00352823062580676,0.9251544571932921,0.07484554280670785,0.001415116890567481,0.0017593345125974087
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,false,Apple,icloud.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,79423,526,78897,75,78822,78448,374,143,217,14,105,2458,2065,59305,19255,262,112,75,3481,8650,11471,9956,132,1797,138,107,106,94200,2860,3915000,7425032400,0.0009506064869386669,0.006622766704858794,0.9952551318159905,0.0013321153992540153,0.00474486818400954,0.0018142143056507068,0.002753038491791632,0.00017761538656720205,0.02632316948806853,0.0009560473179685907,0.11026412400571078,0.04437334285131552,0.0016826432796247196,0.9286821705426357,0.07131782945736434,0.001363960840301856,0.0013512135427289414
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,false,AOL,aol.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,72805,151,72654,32,72622,72199,423,120,191,112,106,1486,822,61177,11158,287,136,54,2657,17445,22545,18021,214,3855,303,256,13,94200,2860,3915000,6840992400,0.00044044374707517825,0.0020740333768285144,0.9941753187739253,0.0014596127895128198,0.005824681226074743,0.0016523918371843243,0.002630057007518383,0.001542232381372036,0.011385199240986717,0.000747932796853142,0.24162384520561225,0.03680106372664441,0.0029640299727143036,0.9271284271284271,0.07287157287157287,0.0035457554813778584,0.00018005789553871937
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-13,Europe/London,2,28,Baseline,0.0,false,false,Gmail deferrals,false,Proton Mail,proton.me,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,52949,228,52721,21,52700,52507,193,73,114,6,71,1063,777,45359,7204,137,56,8,613,11640,13028,11742,105,2281,180,53,27,94200,2860,3915000,4964340000,0.00039832324880028833,0.004306030331073297,0.9963377609108159,0.001347248576850095,0.0036622390891840606,0.0013851992409867173,0.0021631878557874765,0.00011385199240986717,0.014798026929742702,0.0001523606376292685,0.22168472775058565,0.011674633858342697,0.001999733368884149,0.9268590004063388,0.07314099959366112,0.0010093892242939036,0.0005142171519987812
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,256322,3048,253274,197,253077,251062,2015,770,1046,199,581,6336,4710,216200,35542,1335,680,287,6566,32447,39409,32447,637,12491,1852,924,576,94200,2860,3915000,23839853400,0.0007778137511153928,0.011891292983044765,0.9920379963410345,0.00229574398305654,0.007962003658965454,0.0030425522667014387,0.004133129442817798,0.000786321949446216,0.01876030621918092,0.0011431439246082642,0.12923899275876077,0.02615290247030614,0.0025372218814476107,0.8708777801017918,0.12912221989820818,0.0036803658060558745,0.002294254008969896
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,154157,1618,152539,230,152309,149569,2740,889,1787,64,1193,7572,6318,136274,14488,1547,1193,86,2177,25210,29026,25980,444,7588,252,215,347,94200,2860,3915000,14347507800,0.0015078111171569239,0.010495793249738903,0.9820102554675035,0.007832761031849727,0.017989744532496438,0.0058368185727698295,0.011732727547288735,0.000420198412437873,0.0422413735466574,0.000574985458216609,0.16855096978651993,0.014555155145785557,0.002968529574978772,0.9678571428571429,0.03214285714285714,0.0014374636455415227,0.0023199994651298063
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,112115,989,111126,39,111087,109274,1813,468,1084,261,890,4850,4455,83267,26655,1165,648,63,2205,24882,28959,24882,304,2139,297,42,78,94200,2860,3915000,10464395400,0.00035095297230171155,0.008821299558489051,0.9836794584424821,0.008011738547264757,0.01632054155751798,0.004212914202381917,0.009758117511499995,0.002349509843636069,0.04076907590094624,0.0005765323864780277,0.22770283873565533,0.02017863352673097,0.0027819975474495306,0.8780788177339901,0.12192118226600986,0.0003843549243186851,0.0007138020023061295
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,false,Apple,icloud.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,84086,1039,83047,90,82957,82034,923,205,599,119,239,2911,2456,61519,20910,528,395,28,2792,11035,17180,13780,298,2180,60,91,173,94200,2860,3915000,7814549400,0.0010837236745457391,0.012356397022096425,0.9888737538724881,0.002881010644068614,0.011126246127511844,0.0024711597574647104,0.007220608266933472,0.0014344781031136614,0.02993880586098447,0.0003413218909232757,0.13451739522636955,0.03403466855206378,0.0036326401248262916,0.9732142857142857,0.026785714285714284,0.001109296145500646,0.002108881683204525
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,false,AOL,aol.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,77079,129,76950,106,76844,75492,1352,429,573,350,335,3294,3136,58839,17303,702,650,58,2689,8727,13777,12346,238,3286,228,103,140,94200,2860,3915000,7238704800,0.0013775178687459389,0.00167360759740007,0.9824059132788506,0.004359481547030347,0.01759408672114934,0.00558273905574931,0.007456665452084743,0.004554682213315288,0.04154082551793568,0.0007682933290944735,0.11560165315530123,0.03561966830922482,0.0031526519366290467,0.9351166761525327,0.06488332384746727,0.0013643829809781168,0.001854501139193557
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-14,Europe/London,3,27,Baseline,0.0,false,false,Gmail deferrals,false,Proton Mail,proton.me,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,56057,166,55891,44,55847,55415,432,87,274,71,118,820,435,48882,6657,308,124,62,2051,11662,13317,11976,99,2155,332,95,125,94200,2860,3915000,5260787400,0.000787246604999016,0.0029612715628735036,0.9922645800132505,0.002112915644528802,0.007735419986749512,0.001557827636220388,0.004906261750855015,0.0012713305996741096,0.007849860146169809,0.0011188306415230533,0.21044843453938464,0.03701163944780294,0.001786519895335198,0.8665058303176518,0.1334941696823482,0.0017143372733014527,0.002255706938554543
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,275658,2138,273520,227,273293,269963,3330,1245,2031,54,1652,6222,3334,246222,24834,2237,1093,210,4420,61545,80731,63024,385,8981,1222,1081,673,94200,2860,3915000,25744200600,0.0008299210295408014,0.00775598749174702,0.9878152751808499,0.0060447944147855965,0.012184724819150143,0.004555550270222801,0.007431584416724907,0.00019759013220243475,0.012349840533702767,0.0007778843767479247,0.22797568555690964,0.01637261402488489,0.0014261213573711954,0.8802313045182789,0.11976869548172106,0.004004252434592888,0.0024929342169112065
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,165787,1837,163950,121,163829,161793,2036,500,1141,395,994,9200,7493,138948,23712,1169,867,147,2489,31820,37207,34750,133,7245,431,342,176,94200,2860,3915000,15432691800,0.0007380298871607197,0.011080482788155887,0.9875724078154662,0.006067301881840212,0.012427592184533874,0.0030519627172234465,0.0069645789207039045,0.0024110505466065227,0.046312263200509296,0.0009085683558621202,0.1966710549900181,0.01538385467850896,0.000822038036256204,0.9438509640437728,0.0561490359562272,0.0021138120932302387,0.0010878097321886607
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,120572,246,120326,99,120227,117331,2896,967,1279,650,854,5301,4146,96801,21606,1820,1076,36,3696,17738,21618,18851,431,3508,141,137,258,94200,2860,3915000,11325383400,0.0008227648222329339,0.0020402746906412767,0.9759122326931554,0.007103229723772531,0.024087767306844553,0.008043118434295124,0.010638209387242466,0.005406439485306961,0.035335929975880205,0.00030682428343745474,0.15117914276704367,0.031500626432912016,0.003673368504487305,0.9613592765141135,0.03864072348588654,0.0011676368564147582,0.002198907364635092
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,false,Apple,icloud.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,90429,295,90134,49,90085,88459,1626,394,707,525,798,2043,1761,66608,22327,1150,476,42,2477,15264,20367,19517,84,1790,81,190,209,94200,2860,3915000,8486007000,0.0005436350322852642,0.0032622278251445884,0.9819503801964811,0.00885830049397791,0.0180496198035189,0.004373647111061775,0.007848143420103235,0.005827829272353888,0.019907527781231983,0.00047479623328321597,0.1725545167817859,0.028001673091488714,0.0009495924665664319,0.9567076429716729,0.0432923570283271,0.002147887721995501,0.002362676494195051
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,false,AOL,aol.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,82893,278,82615,119,82496,81311,1185,331,708,146,399,2650,2012,62139,19600,757,428,11,1422,11598,17127,15944,223,4514,521,189,156,94200,2860,3915000,7771123200,0.0014404163892755553,0.0033537210620920945,0.9856356671838634,0.0048365981380915435,0.01436433281613654,0.004012315748642359,0.0085822342901474,0.0017697827773467804,0.024744499514210868,0.00013528304903395605,0.142637527517802,0.01748840870238959,0.0027425563576883817,0.8965243296921549,0.10347567030784509,0.0023244087515834266,0.0019185596044815584
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-15,Europe/London,4,26,Baseline,0.0,false,false,Gmail deferrals,false,Proton Mail,proton.me,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,60286,736,59550,47,59503,58741,762,149,458,155,213,2888,2601,51657,7298,548,214,15,1664,13304,15120,13304,142,799,116,213,160,94200,2860,3915000,5605182600,0.0007892527287993283,0.01220847294562585,0.9871939229954793,0.0035796514461455724,0.01280607700452078,0.002504075424768499,0.007697090902979682,0.0026049106767725995,0.04427912361042543,0.00025535826764951227,0.2264857595206074,0.028327743824585895,0.002417391600415383,0.8732240437158469,0.126775956284153,0.0036260874006230743,0.0027238215215947977
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,193541,359,193182,198,192984,188523,4461,845,2031,1585,810,5433,4323,172087,18447,2450,2011,37,7495,40895,54940,46197,660,8088,1302,438,532,94200,2860,3915000,18179092800,0.0010249402118209772,0.0018549041288409174,0.9768840940181569,0.004197239149359533,0.023115905981843054,0.004378601334825685,0.010524188533764457,0.008213116113252912,0.022930889069238236,0.00019626252499694996,0.21692313404730457,0.039756422293301084,0.0035008990945401886,0.8613418530351438,0.13865814696485623,0.0023233239445584887,0.0028219368459020916
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,116400,1176,115224,114,115110,112825,2285,517,1426,342,851,4451,3693,101133,12444,1533,752,129,1180,9507,12887,12307,277,3211,458,229,55,94200,2860,3915000,10843362000,0.0009893772130806081,0.010103092783505154,0.980149422291721,0.00739292850317088,0.019850577708279037,0.004491356094170793,0.012388150464772827,0.002971071149335418,0.03273210724573455,0.0011433636162198094,0.08426323953024596,0.010458674939064924,0.0024551296255262574,0.8751703461433633,0.12482965385663669,0.0020296920008863284,0.0004874806115665854
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,84655,181,84474,126,84348,83060,1288,291,766,231,573,3394,2838,74812,8860,676,612,85,3493,10023,14572,11721,210,4255,371,350,57,94200,2860,3915000,7945581600,0.0014915832090347326,0.0021380898942767704,0.9847299283919002,0.006793284962299047,0.015270071608099777,0.0034499928866126048,0.00908142457438232,0.0027386541471048514,0.034168071273777995,0.0010233566096797496,0.12067180351553095,0.04205393691307489,0.002528292800385264,0.9198011240812797,0.08019887591872028,0.00421382133397544,0.0006862509029617144
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,false,Apple,icloud.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,63491,750,62741,72,62669,61331,1338,566,693,79,406,2892,2307,53851,7896,922,416,43,2000,9025,12642,10667,198,3058,461,163,125,94200,2860,3915000,5903419800,0.0011475749509889865,0.0118126978626892,0.9786497311270325,0.006478482184173994,0.021350268872967496,0.00903157861143468,0.011058098900572851,0.0012605913609599643,0.037615561461577345,0.0007011136293228546,0.14715233731718055,0.032609936247574633,0.003228383688509889,0.8689968741119636,0.13100312588803636,0.0026577098041773327,0.0020381210154734146
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,false,AOL,aol.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,58200,711,57489,19,57470,56147,1323,446,782,95,557,2475,2175,49883,6897,690,633,45,1421,14250,18025,16146,58,2349,259,221,110,94200,2860,3915000,5413674000,0.0003304980083146341,0.012216494845360824,0.976979293544458,0.009692013224290934,0.023020706455542023,0.007760570732556116,0.013607099356185835,0.0016530363668000696,0.03873759951555738,0.0008014675761839458,0.2537980657915828,0.02530856501683082,0.0010330026537481967,0.9006901840490797,0.09930981595092024,0.003936096318592266,0.001959142964005201
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-16,Europe/London,5,25,Baseline,0.0,false,false,Gmail deferrals,false,Proton Mail,proton.me,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,42327,139,42188,13,42175,41556,619,197,298,124,122,2205,1891,35285,6448,442,177,6,1621,5151,8135,7673,114,844,86,67,61,94200,2860,3915000,3972885000,0.0003081444960652318,0.003283955867413235,0.9853230586840546,0.002892708950800237,0.014676941315945465,0.004671013633669235,0.007065797273266153,0.002940130409010077,0.045504860910578496,0.00014438348252959862,0.1239532197516604,0.03900760419674656,0.0027432861680623736,0.9075268817204301,0.09247311827956989,0.0016122822215805179,0.0014678987390509192
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-17,Europe/London,6,24,Baseline,0.0,false,false,Gmail deferrals,true,Google,gmail.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,170094,2016,168078,160,167918,164514,3404,1231,2052,121,1589,4218,2982,140269,25945,1704,1700,202,2626,24376,33331,31287,132,3538,458,148,437,94200,2860,3915000,15817875600,0.0009519389807113364,0.011852269921337614,0.9797282006693744,0.00946295215521862,0.020271799330625662,0.007330959158636954,0.012220250360294905,0.0007205898116938029,0.018126116926219044,0.0012278590271952538,0.1481697606282748,0.015962167353538302,0.0008023633247018491,0.8853853853853854,0.11461461461461461,0.0008996194852717702,0.00265630888556597
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-17,Europe/London,6,24,Baseline,0.0,false,false,Gmail deferrals,false,Microsoft,outlook.com,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,102298,763,101535,110,101425,99426,1999,433,970,596,451,5044,4320,80170,19959,1296,703,29,2388,13105,20198,19202,154,4440,665,379,202,94200,2860,3915000,9554235000,0.0010833702664105973,0.007458601341179691,0.9802908553118067,0.004446635444910032,0.019709144688193247,0.004269164407197436,0.00956371703228987,0.00587626324870594,0.04344939955343673,0.00029167420996520024,0.13180656971013618,0.024017862530927525,0.0015488906322289944,0.8697355533790402,0.13026444662095985,0.003811880192303824,0.0020316617383782914
26060001,ACC-TESC-001,Tesco,In Progress,Gmail volume throttling,2026-06-17,Europe/London,6,24,Baseline,0.0,false,false,Gmail deferrals,false,Yahoo,yahoo.co.uk,mail.tesco.com,185.12.40.11,pool-tesco-promo,clubcard_summer_rewards,brazeTesco,74398,939,73459,54,73405,71895,1510,385,642,483,602,780,523,53993,18649,763,747,69,2081,15158,20359,17183,106,1629,156,131,125,94200,2860,3915000,6914751000,0.0007351039355286622,0.012621307024382376,0.9794291941965806,0.008201076220965874,0.020570805803419384,0.005244874327361896,0.008745998229003474,0.006579933247054016,0.007274497531121775,0.0009597329438764866,0.21083524584463453,0.02894498922039085,0.001474372348563878,0.9126050420168067,0.08739495798319327,0.0018221016760553584,0.0017386466374574032
